date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2020-04-05 21:00:00,117.178,117.167,117.175,117.123,117.276,117.254,117.272,117.202,30
2020-04-05 21:15:00,117.167,117.142,117.185,117.125,117.254,117.203,117.282,117.203,22
2020-04-05 21:30:00,117.142,117.251,117.268,117.21,117.203,117.354,117.369,117.308,32
2020-04-05 21:45:00,117.251,117.195,117.271,117.18,117.354,117.298,117.372,117.274,51
2020-04-05 22:00:00,117.195,117.379,117.417,117.107,117.298,117.41,117.452,117.186,4570
2020-04-05 22:15:00,117.379,117.273,117.389,117.248,117.41,117.31,117.426,117.281,5204
2020-04-05 22:30:00,117.273,117.299,117.327,117.214,117.31,117.321,117.351,117.244,9403
2020-04-05 22:45:00,117.299,117.318,117.337,117.254,117.321,117.34,117.36,117.284,3702
2020-04-05 23:00:00,117.318,117.403,117.414,117.308,117.34,117.428,117.443,117.333,6076
2020-04-05 23:15:00,117.403,117.504,117.507,117.382,117.428,117.527,117.529,117.405,5930
2020-04-05 23:30:00,117.504,117.439,117.505,117.416,117.527,117.461,117.527,117.441,5235
2020-04-05 23:45:00,117.439,117.464,117.502,117.356,117.461,117.491,117.531,117.38,6415
2020-04-06 00:00:00,117.464,117.574,117.668,117.424,117.491,117.601,117.692,117.444,13631
2020-04-06 00:15:00,117.574,117.706,117.755,117.568,117.601,117.731,117.78,117.59,8878
2020-04-06 00:30:00,117.706,117.863,117.964,117.654,117.731,117.885,117.983,117.679,13712
2020-04-06 00:45:00,117.863,117.803,117.878,117.768,117.885,117.831,117.901,117.79,11436
2020-04-06 01:00:00,117.803,117.907,117.934,117.756,117.831,117.931,117.953,117.782,8461
2020-04-06 01:15:00,117.907,117.775,117.933,117.773,117.931,117.799,117.956,117.797,7317
2020-04-06 01:30:00,117.775,117.731,117.796,117.684,117.799,117.752,117.816,117.707,7620
2020-04-06 01:45:00,117.731,117.743,117.772,117.626,117.752,117.764,117.794,117.648,8149
2020-04-06 02:00:00,117.743,117.765,117.833,117.721,117.764,117.788,117.855,117.746,5618
2020-04-06 02:15:00,117.765,117.82,117.843,117.748,117.788,117.84,117.865,117.77,5667
2020-04-06 02:30:00,117.82,117.744,117.82,117.689,117.84,117.766,117.841,117.711,5221
2020-04-06 02:45:00,117.744,117.773,117.789,117.729,117.766,117.796,117.807,117.752,5236
2020-04-06 03:00:00,117.773,117.736,117.793,117.685,117.796,117.76,117.815,117.711,4523
2020-04-06 03:15:00,117.736,117.762,117.777,117.686,117.76,117.783,117.8,117.706,3656
2020-04-06 03:30:00,117.762,117.731,117.808,117.729,117.783,117.751,117.829,117.75,4725
2020-04-06 03:45:00,117.731,117.721,117.742,117.704,117.751,117.743,117.762,117.724,3802
2020-04-06 04:00:00,117.721,117.751,117.774,117.706,117.743,117.772,117.796,117.727,3734
2020-04-06 04:15:00,117.751,117.818,117.855,117.745,117.772,117.837,117.879,117.766,3639
2020-04-06 04:30:00,117.818,117.813,117.859,117.795,117.837,117.836,117.881,117.818,5084
2020-04-06 04:45:00,117.813,117.796,117.898,117.777,117.836,117.814,117.919,117.796,6830
